slug,name,category,platforms,ios_url,android_url,web_url,developer,first_seen,last_checked,meter,message_scoring,ghost,fail_state,progression,proactive,availability,memory,no_account,free_tier,premium_price_usd_month,ios_rating,ios_rating_count,android_rating,android_installs,notes
rizzmaster,RizzMaster,simulator,ios,https://apps.apple.com/us/app/id6757169407,,,Eusty Ventures Limited,2026-01-22,2026-09-18,true,true,true,true,true,false,true,true,false,20-60 free messages,11.99,4.78,106,,,"meter: ""Trust Score: Every message affects your standing"" | message_scoring: ""Your messages are evaluated by AI; good ones build trust, bad ones lower it"" | ghost: ""Ghost State: Low-quality messages may get no response"" | fail_state: ""That character is lost"" | progression: ""Swipe, match, and chat your way from Level 0 to Rizz Master."" | availability: ""Online/Offline: Characters have availability schedules"" | memory: ""Real memory: characters remember what you said and bring it up later"""
girlfriend-simulator,Girlfriend Simulator,simulator,ios;android,https://apps.apple.com/us/app/id6791564785,https://play.google.com/store/apps/details?id=com.casualplayer.aigirlfriend,,Cristian Tomescu,2026-07-23,2026-09-18,false,false,false,false,true,false,false,true,false,free,,,,3.75,"500,000+","progression: ""A relationship that grows — from strangers to talking, crush, dating… and beyond"" | memory: ""They text like real people, remember your conversations,"""
heyyyy,Heyyyy,simulator,ios;android;web,https://apps.apple.com/us/app/id6761748236,https://play.google.com/store/apps/details?id=ai.heyyyy.app,https://heyyyy.ai,heyyyyAI Inc,2026-04-10,2026-09-18,false,false,false,true,false,false,false,true,false,free with in-app purchases,19.99,4.65,4421,4.6076922,"100,000+","fail_state: ""[They can leave]"" | memory: ""They remember your coffee order, the song you played them last Tuesday, and the thing you said that made them go quiet."""
melting,Melting,simulator,ios;android,https://apps.apple.com/us/app/id6745810835,https://play.google.com/store/apps/details?id=chat.melting.apppp,,주식회사 와트니,2025-06-19,2026-09-18,true,false,false,false,false,false,false,true,false,free,,5,41,3.26,"100,000+","meter: ""Watch your character’s affection level change in real time as you chat!"" | memory: ""It remembers everything — from your sweet jokes yesterday to your favorite things."""
chacha,Chacha,simulator,android,,https://play.google.com/store/apps/details?id=ai.anirole.mobile,,"Kinkaku, Inc","Sep 27, 20",2026-09-18,false,false,false,false,true,false,false,false,false,free,,,,4.19,"100,000+","progression: ""From strangers to mutual feelings, lovers, to marriage —"""
blush,Blush,simulator,ios;android,https://apps.apple.com/us/app/id1641301004,https://play.google.com/store/apps/details?id=ai.blush,,Endura LLC,2022-12-24,2026-09-18,false,false,false,false,false,false,false,false,false,free with in-app purchases,14.99,4.3,11910,4.082267,"1,000,000+",
loverz,Loverz,simulator,ios;android,https://apps.apple.com/us/app/id1554136130,https://play.google.com/store/apps/details?id=com.wideview.lovers,,Fannin Holdings Limited,2021-04-28,2026-09-18,false,false,false,false,false,false,false,false,false,free with in-app purchases,,4.42,13825,4.025621,"1,000,000+",
replika,Replika,companion,ios;android;web,https://apps.apple.com/us/app/id1158555867,https://play.google.com/store/apps/details?id=ai.replika.app,https://replika.com,"Luka, Inc.",2017-03-13,2026-09-18,false,false,false,false,false,true,false,true,false,free with in-app purchases,7.99,4.41,320532,4.253285,"10,000,000+","proactive: ""It follows up and checks in when it matters, not just when you open the app."" | memory: ""Replika remembers what matters to you — and shows up when it counts."""
aiko,AIKO,companion,android,,https://play.google.com/store/apps/details?id=com.olympusstudio.AikoAICompanion,,olympus studio,"Aug 28, 20",2026-09-18,false,false,false,false,false,false,false,true,false,,,,,4.5,"500,000+","memory: ""💕 Meet Aiko, Kikyo, or your own male companion, a fully simulated AI companion who remembers everything, lives in a real 3D home, and builds a genuine relationship with you over time."""
crushie-ai,Crushie AI,companion,ios;web,https://apps.apple.com/us/app/id6741790631,,https://crushie.ai,SoulZ AI Inc.,2025-02-11,2026-09-18,false,false,false,false,false,false,false,true,false,free with in-app purchases,,4.65,10205,,,"memory: ""Crushie learns from your conversations, remembers what matters to you, and evolves over time, making each interaction feel more personal and meaningful."""
