slug,name,rating_weighted,rating_count_total,newest_reviews_avg,newest_reviews_n,cohort_median,integrity_penalty,days_since_update,feature_checks_documented,quality_p,quality_m,quality_n,quality_neutral,site_score
rizzmaster,RizzMaster,4.78,106,4.973,37,67.3626,0.0,55,6,4,0,1,false,78.5
heyyyy,Heyyyy,4.65,4421,3.3681,182,67.3626,0.0,3,6,3,0,1,false,78.4
tipsy-chat,Tipsy Chat,4.52,17893,4.0391,742,67.3626,0.0,1,4,2,2,1,false,75.7
eva-ai,EVA AI,4.28,34519,3.3774,636,67.3626,0.0,15,5,2,0,2,false,74.0
plotto,Plotto,4.85,7883,4.78,350,67.3626,0.0,16,2,2,0,0,true,73.4
dokichat,Dokichat,4.53,26809,3.585,147,67.3626,0.0,2,1,4,0,0,false,73.3
jupi,Jupi,4.51,47970,3.509,442,67.3626,0.0,80,3,3,0,1,false,73.2
bimobimo,BIMOBIMO,4.72,29502,3.7558,86,67.3626,0.0,21,3,0,0,0,true,72.4
swerve,Swerve,4.68,59100,4.1915,893,67.3626,0.0,3,3,0,3,2,false,72.2
kindroid,Kindroid,4.76,12035,3.4202,238,67.3626,0.0,31,5,1,0,3,false,72.2
enjoy-ai-town,Enjoy AI Town,4.63,87424,3.9884,344,67.3626,0.0,7,2,0,0,1,true,72.1
polybuzz,PolyBuzz,4.43,663276,2.996,996,67.3626,0.0,13,3,0,1,1,true,71.7
shapes,Shapes,4.54,2960,3.631,84,67.3626,23.8095,36,3,3,1,0,false,71.4
crushie-ai,Crushie AI,4.65,10205,3.712,125,67.3626,0.0,32,3,0,0,0,true,71.4
synclub,SynClub,4.59,31288,3.7281,114,67.3626,0.0,3,4,1,0,4,false,70.4
waifu-ai-chat,Waifu AI Chat,4.54,6544,3.9737,152,67.3626,13.1579,32,4,1,1,2,false,70.2
roleplai,RolePlai,4.49,8044,4.3495,372,67.3626,0.0,264,4,2,1,2,false,70.0
cantina,Cantina,4.79,96892,2.3774,53,67.3626,0.0,8,2,0,0,0,true,69.2
heat,Heat,4.55,13903,4.4527,486,67.3626,32.9218,35,3,1,0,1,true,68.7
dippy,Dippy,4.23,6962,2.875,16,67.3626,0.0,22,3,0,0,0,true,68.6
chachat,ChaChat,4.27,14984,2.35,360,67.3626,0.0,22,4,0,0,0,true,68.5
zeta,zeta,4.37,255799,3.3495,455,67.3626,0.0,2,2,0,2,1,false,68.5
hiwaifu,HiWaifu,4.32,8152,3.7333,120,67.3626,0.0,1,2,3,1,3,false,68.4
animates,Animates,4.38,4894,3.1349,215,67.3626,0.0,8,4,0,2,2,false,67.6
aiboy,AIBoy,4.76,1706,3.8667,60,67.3626,0.0,2,2,1,1,2,false,67.4
waifuchat,WaifuChat,4.57,4666,3.3021,96,67.3626,0.0,46,2,1,3,1,false,67.3
ai-chat-characters,AI Chat Characters,4.43,2888,2.9365,63,67.3626,0.0,159,4,0,0,0,true,67.2
sakura,Sakura,4.75,37197,4.7874,889,67.3626,0.0,848,2,5,0,0,false,67.1
replika,Replika,4.41,320532,3.1017,1150,67.3626,0.8696,56,4,0,0,5,false,66.5
emochi-world,EMOCHI World,4.6,25255,3.6161,508,67.3626,1.9685,10,2,0,1,2,false,66.4
iboy,iBoy,4.46,6560,3.96,125,67.3626,0.0,79,1,1,2,1,false,66.1
spark-chat,Spark Chat,4.67,2192,4.5859,227,67.3626,0.0,233,3,0,2,2,false,66.0
saylo,Saylo,3.93,6225,2.3267,101,67.3626,0.0,7,3,0,0,0,true,65.6
spook,Spook,4.84,1497,4.4688,32,67.3626,0.0,39,0,0,0,0,true,65.5
baebot,Baebot,3.96,1971,2.125,40,67.3626,0.0,2,3,0,0,1,true,65.3
laixen,Laixen,4.04,1865,1.6667,6,67.3626,0.0,23,2,0,0,0,true,64.9
j-ai,J.AI,4.24,6255,3.4028,211,67.3626,0.0,148,2,1,1,1,false,64.6
romantic-ai,Romantic AI,4.23,2802,3.1538,13,67.3626,0.0,107,2,0,0,0,true,64.5
blush,Blush,4.3,11910,2.6912,340,67.3626,8.8235,10,2,1,1,1,false,64.5
character-ai,Character.AI,4.21,985059,1.9286,1050,67.3626,0.9524,10,3,0,1,3,false,63.6
nomi,Nomi,4.54,3795,2.9489,137,67.3626,7.2993,171,4,0,1,2,false,63.1
meetai,MeetAI,4.64,6212,2.3043,46,67.3626,0.0,38,2,0,1,2,false,63.1
moescape,Moescape,4.55,2556,3.7031,64,67.3626,0.0,3,2,0,0,3,false,63.1
chai,CHAI,4.21,445852,2.2174,1150,67.3626,0.0,18,2,0,1,2,false,63.0
ai-waifu-swipe,AI Waifu Swipe,4.5,1649,3.0,24,67.3626,0.0,351,3,1,1,0,true,62.3
loverz,Loverz,4.42,13825,3.0508,59,67.3626,0.0,304,3,0,1,2,false,60.9
lux,LUX,4.62,1719,3.4643,28,67.3626,0.0,437,2,1,0,2,false,58.4
mygirl,MyGirl,4.48,2883,3.8889,90,67.3626,0.0,659,4,0,1,2,false,58.1
