slug,name,rating,volume,newest_reviews,freshness,features,quality,score
rizzmaster,RizzMaster,95.60,60.25,81.01,95.72,66.67,71.43,78.45
heyyyy,Heyyyy,93.00,76.46,67.36,100.00,66.67,66.67,78.36
tipsy-chat,Tipsy Chat,90.40,82.53,79.93,100.00,44.44,57.14,75.74
eva-ai,EVA AI,85.60,85.38,67.53,100.00,55.56,50.00,74.01
plotto,Plotto,97.00,78.97,92.07,100.00,22.22,50.00,73.38
dokichat,Dokichat,90.60,84.28,70.60,100.00,11.11,83.33,73.32
jupi,Jupi,90.20,86.81,69.89,92.34,33.33,66.67,73.21
bimobimo,BIMOBIMO,94.40,84.70,72.27,100.00,33.33,50.00,72.45
swerve,Swerve,93.60,87.72,82.96,100.00,33.33,35.71,72.22
kindroid,Kindroid,95.20,80.80,68.22,99.71,55.56,33.33,72.14
enjoy-ai-town,Enjoy AI Town,92.60,89.42,78.19,100.00,22.22,50.00,72.07
polybuzz,PolyBuzz,88.60,98.22,60.28,100.00,33.33,50.00,71.74
shapes,Shapes,90.80,74.71,55.73,98.71,33.33,75.00,71.38
crushie-ai,Crushie AI,93.00,80.09,72.28,99.49,33.33,50.00,71.36
synclub,SynClub,91.80,84.95,72.37,100.00,44.44,28.57,70.36
waifu-ai-chat,Waifu AI Chat,90.80,78.16,66.58,99.49,44.44,41.67,70.19
roleplai,RolePlai,89.80,79.05,84.66,72.00,44.44,50.00,69.99
cantina,Cantina,95.80,89.86,57.17,100.00,22.22,50.00,69.18
heat,Heat,91.00,81.43,57.18,98.89,33.33,50.00,68.64
dippy,Dippy,84.60,78.43,64.97,100.00,33.33,50.00,68.56
chachat,ChaChat,85.40,81.76,49.48,100.00,44.44,50.00,68.51
zeta,zeta,87.40,94.08,67.03,100.00,22.22,40.00,68.45
hiwaifu,HiWaifu,86.40,79.11,72.52,100.00,22.22,50.00,68.38
animates,Animates,87.60,76.90,63.58,100.00,44.44,33.33,67.64
aiboy,AIBoy,95.20,72.32,72.80,100.00,22.22,41.67,67.37
waifuchat,WaifuChat,91.40,76.69,66.49,97.06,22.22,50.00,67.31
ai-chat-characters,AI Chat Characters,88.60,74.61,62.55,83.02,44.44,50.00,67.20
sakura,Sakura,95.00,85.71,94.24,19.88,22.22,85.71,67.13
replika,Replika,88.20,95.06,61.42,95.58,44.44,14.29,66.50
emochi-world,EMOCHI World,92.00,84.02,70.09,100.00,22.22,30.00,66.39
iboy,iBoy,89.20,78.17,75.82,92.47,11.11,50.00,66.13
spark-chat,Spark Chat,93.40,73.41,87.32,75.15,33.33,33.33,65.99
saylo,Saylo,78.60,77.94,53.43,100.00,33.33,50.00,65.55
spook,Spook,96.80,71.75,75.95,98.19,0.00,50.00,65.45
baebot,Baebot,79.20,72.95,56.31,100.00,33.33,50.00,65.30
laixen,Laixen,80.80,72.71,63.72,100.00,22.22,50.00,64.91
j-ai,J.AI,84.80,77.96,67.92,84.25,22.22,50.00,64.53
blush,Blush,86.00,80.76,47.87,100.00,22.22,50.00,64.47
romantic-ai,Romantic AI,84.60,74.47,66.48,88.99,22.22,50.00,64.46
character-ai,Character.AI,84.20,99.93,38.97,100.00,33.33,25.00,63.57
nomi,Nomi,90.80,75.79,55.87,81.70,44.44,30.00,63.10
meetai,MeetAI,92.80,77.93,57.17,98.36,22.22,30.00,63.08
moescape,Moescape,91.00,74.08,71.12,100.00,22.22,20.00,63.07
chai,CHAI,84.20,96.49,45.31,100.00,22.22,30.00,63.04
ai-waifu-swipe,AI Waifu Swipe,90.00,72.17,64.97,63.48,33.33,50.00,62.33
loverz,Loverz,88.40,81.41,63.93,68.03,33.33,30.00,60.85
lux,LUX,92.40,72.35,68.05,55.43,22.22,40.00,58.41
mygirl,MyGirl,89.60,74.60,74.06,35.75,44.44,30.00,58.07
